mpg,cylinders,displacement,horsepower,weight,acceleration,model year, origin,car name
34.0,4,122.4,138,2557,8.5,1986,3,toyota celica
11.0,8,349.8,190,6570,16.1,1996,1,hummer h1 2 door
32.6,4,97.5,69,2249,14.1,1986,2,audi 80
10.2,8,411.9,205,5203,10.9,1986,2,rolls royce corniche II
29.1,4,119.5,98,2421,13.2,1986,3,honda accord sedan
25,4,134.6,94,2564,14.2,1986,1,dodge 600
29,4,122.4,84,2414,12.4,1983,3,mazda 626
23,4,121.1,88,2502,13,1983,1,chevrolet cavalier
25.0,6,232.0,115.0,2815,13.2,1982,1,ford granada
35.0,4,140.0,96.0,2635,12.9,1983,3,toyota celica hgt
39.0,4,130.0,80.0,2352,12.3,1983,1,dodge charger 83
29.0,4,145.0,92.0,2942,14.2,1983,1,chevrolet camaro
29.0,4,135.0,88.0,2785,12.1,1983,1,ford mustang
14.0,8,121.7,217,2833,6,1983,2,ferrari 208 turbo
22,4,121.6,89,2381,11.1,1983,2, mercedes 190
21,6,173.3,130,2743,9.1,1983,2, delorean dmc-12
9.8,12,301.9,335,3483,5.4,1983,2,ferrari 512 BB
20.0,4,117.0,99.0,3704,14.8,1983,1,audi 100 avant 1.8
19.3,6,141.2,148,2403,8.8,1983,2,bmw 323i
29.0,4,134.6,94,2317,11.1,1983,1,dodge aries
17.0,6,300.1,122,4380,14.9,1983,1,ford bronco 4.9L
12.0,12,291.1,290,3329,5.9,1983,2,lamborghini countach LP500S
32,4,106.7,75,2103,12.1,1983,3,honda accord
39.2,4,58.4,44,1720,19,1983,2,peugeot 104
18.0,8,307.0,130.0,3504,12.0,1970,1,chevrolet chevelle malibu
15.0,8,350.0,165.0,3693,11.5,1970,1,buick skylark 320
18.0,8,318.0,150.0,3436,11.0,1970,1,plymouth satellite
16.0,8,304.0,150.0,3433,12.0,1970,1,amc rebel sst
17.0,8,302.0,140.0,3449,10.5,1970,1,ford torino
15.0,8,429.0,198.0,4341,10.0,1970,1,ford galaxie 500
14.0,8,454.0,220.0,4354,9.0,1970,1,chevrolet impala
14.0,8,440.0,215.0,4312,8.5,1970,1,plymouth fury iii
14.0,8,455.0,225.0,4425,10.0,1970,1,pontiac catalina
15.0,8,390.0,190.0,3850,8.5,1970,1,amc ambassador dpl
15.0,8,383.0,170.0,3563,10.0,1970,1,dodge challenger se
14.0,8,340.0,160.0,3609,8.0,1970,1,plymouth 'cuda 340
15.0,8,400.0,150.0,3761,9.5,1970,1,chevrolet monte carlo
14.0,8,455.0,225.0,3086,10.0,1970,1,buick estate wagon (sw)
24.0,4,113.0,95.0,2372,15.0,1970,3,toyota corona mark ii
22.0,6,198.0,95.0,2833,15.5,1970,1,plymouth duster
18.0,6,199.0,97.0,2774,15.5,1970,1,amc hornet
21.0,6,200.0,85.0,2587,16.0,1970,1,ford maverick
26.0,4,97.0,46.0,1835,20.5,1970,2,volkswagen 1131 deluxe sedan
25.0,4,110.0,87.0,2672,17.5,1970,2,peugeot 504
24.0,4,107.0,90.0,2430,14.5,1970,2,audi 100 ls
25.0,4,104.0,95.0,2375,17.5,1970,2,saab 99e
26.0,4,121.0,113.0,2234,12.5,1970,2,bmw 2002
21.0,6,199.0,90.0,2648,15.0,1970,1,amc gremlin
10.0,8,360.0,215.0,4615,14.0,1970,1,ford f250
10.0,8,307.0,200.0,4376,15.0,1970,1,chevy c20
11.0,8,318.0,210.0,4382,13.5,1970,1,dodge d200
29.0,8,304.0,193.0,4732,18.5,1970,1,hi 1200d
28.0,4,140.0,90.0,2264,15.5,1971,1,chevrolet vega 2300
25.0,4,113.0,95.0,2228,14.0,1971,3,toyota corona
19.0,6,232.0,100.0,2634,13.0,1971,1,amc gremlin
16.0,6,225.0,105.0,3439,15.5,1971,1,plymouth satellite custom
17.0,6,250.0,100.0,3329,15.5,1971,1,chevrolet chevelle malibu
19.0,6,250.0,88.0,3302,15.5,1971,1,ford torino 500
18.0,6,232.0,100.0,3288,15.5,1971,1,amc matador
14.0,8,350.0,165.0,4209,12.0,1971,1,chevrolet impala
14.0,8,400.0,175.0,4464,11.5,1971,1,pontiac catalina brougham
14.0,8,351.0,153.0,4154,13.5,1971,1,ford galaxie 500
14.0,8,318.0,150.0,4096,13.0,1971,1,plymouth fury iii
12.0,8,383.0,180.0,4955,11.5,1971,1,dodge monaco (sw)
13.0,8,400.0,170.0,4746,12.0,1971,1,ford country squire (sw)
13.0,8,400.0,175.0,5140,12.0,1971,1,pontiac safari (sw)
18.0,6,258.0,110.0,2962,13.5,1971,1,amc hornet sportabout (sw)
22.0,4,140.0,72.0,2408,19.0,1971,1,chevrolet vega (sw)
19.0,6,250.0,100.0,3282,15.0,1971,1,pontiac firebird
18.0,6,250.0,88.0,3139,14.5,1971,1,ford mustang
23.0,4,122.0,86.0,2220,14.0,1971,1,mercury capri 2000
28.0,4,116.0,90.0,2123,14.0,1971,2,opel 1900
30.0,4,79.0,70.0,2074,19.5,1971,2,peugeot 304
30.0,4,88.0,76.0,2065,14.5,1971,2,fiat 124b
31.0,4,71.0,65.0,1773,19.0,1971,3,toyota corolla 1200
35.0,4,72.0,69.0,1613,18.0,1971,3,datsun 1200
27.0,4,97.0,60.0,1834,19.0,1971,2,volkswagen model 111
26.0,4,91.0,70.0,1955,20.5,1971,1,plymouth cricket
24.0,4,113.0,95.0,2278,15.5,1972,3,toyota corona hardtop
25.0,4,97.5,80.0,2126,17.0,1972,1,dodge colt hardtop
23.0,4,97.0,54.0,2254,23.5,1972,2,volkswagen type 3
20.0,4,140.0,90.0,2408,19.5,1972,1,chevrolet vega
21.0,4,122.0,86.0,2226,16.5,1972,1,ford pinto runabout
13.0,8,350.0,165.0,4274,12.0,1972,1,chevrolet impala
14.0,8,400.0,175.0,4385,12.0,1972,1,pontiac catalina
15.0,8,318.0,150.0,4135,13.5,1972,1,plymouth fury iii
14.0,8,351.0,153.0,4129,13.0,1972,1,ford galaxie 500
17.0,8,304.0,150.0,3672,11.5,1972,1,amc ambassador sst
11.0,8,429.0,208.0,4633,11.0,1972,1,mercury marquis
13.0,8,350.0,155.0,4502,13.5,1972,1,buick lesabre custom
12.0,8,350.0,160.0,4456,13.5,1972,1,oldsmobile delta 88 royale
13.0,8,400.0,190.0,4422,12.5,1972,1,chrysler newport royal
19.0,3,70.0,97.0,2330,13.5,1972,3,mazda rx2 coupe
15.0,8,304.0,150.0,3892,12.5,1972,1,amc matador (sw)
13.0,8,307.0,130.0,4098,14.0,1972,1,chevrolet chevelle concours (sw)
13.0,8,302.0,140.0,4294,16.0,1972,1,ford gran torino (sw)
14.0,8,318.0,150.0,4077,14.0,1972,1,plymouth satellite custom (sw)
18.0,4,121.0,112.0,2933,14.5,1972,2,volvo 145e (sw)
22.0,4,121.0,76.0,2511,18.0,1972,2,volkswagen 411 (sw)
21.0,4,120.0,87.0,2979,19.5,1972,2,peugeot 504 (sw)
26.0,4,96.0,69.0,2189,18.0,1972,2,renault 12 (sw)
22.0,4,122.0,86.0,2395,16.0,1972,1,ford pinto (sw)
28.0,4,97.0,92.0,2288,17.0,1972,3,datsun 510 (sw)
23.0,4,120.0,97.0,2506,14.5,1972,3,toyouta corona mark ii (sw)
28.0,4,98.0,80.0,2164,15.0,1972,1,dodge colt (sw)
27.0,4,97.0,88.0,2100,16.5,1972,3,toyota corolla 1600 (sw)
13.0,8,350.0,175.0,4100,13.0,1973,1,buick century 350
14.0,8,304.0,150.0,3672,11.5,1973,1,amc matador
13.0,8,350.0,145.0,3988,13.0,1973,1,chevrolet malibu
14.0,8,302.0,137.0,4042,14.5,1973,1,ford gran torino
15.0,8,318.0,150.0,3777,12.5,1973,1,dodge coronet custom
12.0,8,429.0,198.0,4952,11.5,1973,1,mercury marquis brougham
13.0,8,400.0,150.0,4464,12.0,1973,1,chevrolet caprice classic
13.0,8,351.0,158.0,4363,13.0,1973,1,ford ltd
14.0,8,318.0,150.0,4237,14.5,1973,1,plymouth fury gran sedan
13.0,8,440.0,215.0,4735,11.0,1973,1,chrysler new yorker brougham
12.0,8,455.0,225.0,4951,11.0,1973,1,buick electra 225 custom
13.0,8,360.0,175.0,3821,11.0,1973,1,amc ambassador brougham
18.0,6,225.0,105.0,3121,16.5,1973,1,plymouth valiant
16.0,6,250.0,100.0,3278,18.0,1973,1,chevrolet nova custom
18.0,6,232.0,100.0,2945,16.0,1973,1,amc hornet
18.0,6,250.0,88.0,3021,16.5,1973,1,ford maverick
23.0,6,198.0,95.0,2904,16.0,1973,1,plymouth duster
26.0,4,97.0,46.0,1950,21.0,1973,2,volkswagen super beetle
11.0,8,400.0,150.0,4997,14.0,1973,1,chevrolet impala
12.0,8,400.0,167.0,4906,12.5,1973,1,ford country
13.0,8,360.0,170.0,4654,13.0,1973,1,plymouth custom suburb
12.0,8,350.0,180.0,4499,12.5,1973,1,oldsmobile vista cruiser
18.0,6,232.0,100.0,2789,15.0,1973,1,amc gremlin
20.0,4,97.0,88.0,2279,19.0,1973,3,toyota carina
21.0,4,140.0,72.0,2401,19.5,1973,1,chevrolet vega
22.0,4,108.0,94.0,2379,16.5,1973,3,datsun 610
18.0,3,70.0,90.0,2124,13.5,1973,3,maxda rx3
19.0,4,122.0,85.0,2310,18.5,1973,1,ford pinto
21.0,6,155.0,107.0,2472,14.0,1973,1,mercury capri v6
26.0,4,98.0,90.0,2265,15.5,1973,2,fiat 124 sport coupe
15.0,8,350.0,145.0,4082,13.0,1973,1,chevrolet monte carlo s
16.0,8,400.0,230.0,4278,9.5,1973,1,pontiac grand prix
29.0,4,68.0,49.0,1867,19.5,1973,2,fiat 128
24.0,4,116.0,75.0,2158,15.5,1973,2,opel manta
20.0,4,114.0,91.0,2582,14.0,1973,2,audi 100ls
19.0,4,121.0,112.0,2868,15.5,1973,2,volvo 144ea
15.0,8,318.0,150.0,3399,11.0,1973,1,dodge dart custom
24.0,4,121.0,110.0,2660,14.0,1973,2,saab 99le
20.0,6,156.0,122.0,2807,13.5,1973,3,toyota mark ii
11.0,8,350.0,180.0,3664,11.0,1973,1,oldsmobile omega
20.0,6,198.0,95.0,3102,16.5,1974,1,plymouth duster
19.0,6,232.0,100.0,2901,16.0,1974,1,amc hornet
15.0,6,250.0,100.0,3336,17.0,1974,1,chevrolet nova
31.0,4,79.0,67.0,1950,19.0,1974,3,datsun b210
26.0,4,122.0,80.0,2451,16.5,1974,1,ford pinto
32.0,4,71.0,65.0,1836,21.0,1974,3,toyota corolla 1200
25.0,4,140.0,75.0,2542,17.0,1974,1,chevrolet vega
16.0,6,250.0,100.0,3781,17.0,1974,1,chevrolet chevelle malibu classic
16.0,6,258.0,110.0,3632,18.0,1974,1,amc matador
18.0,6,225.0,105.0,3613,16.5,1974,1,plymouth satellite sebring
16.0,8,302.0,140.0,4141,14.0,1974,1,ford gran torino
13.0,8,350.0,150.0,4699,14.5,1974,1,buick century luxus (sw)
14.0,8,318.0,150.0,4457,13.5,1974,1,dodge coronet custom (sw)
14.0,8,302.0,140.0,4638,16.0,1974,1,ford gran torino (sw)
14.0,8,304.0,150.0,4257,15.5,1974,1,amc matador (sw)
29.0,4,98.0,83.0,2219,16.5,1974,2,audi fox
26.0,4,79.0,67.0,1963,15.5,1974,2,volkswagen dasher
26.0,4,97.0,78.0,2300,14.5,1974,2,opel manta
31.0,4,76.0,52.0,1649,16.5,1974,3,toyota corona
32.0,4,83.0,61.0,2003,19.0,1974,3,datsun 710
28.0,4,90.0,75.0,2125,14.5,1974,1,dodge colt
24.0,4,90.0,75.0,2108,15.5,1974,2,fiat 128
26.0,4,116.0,75.0,2246,14.0,1974,2,fiat 124 tc
24.0,4,120.0,97.0,2489,15.0,1974,3,honda civic
26.0,4,108.0,93.0,2391,15.5,1974,3,subaru
31.0,4,79.0,67.0,2000,16.0,1974,2,fiat x1.9
19.0,6,225.0,95.0,3264,16.0,1975,1,plymouth valiant custom
18.0,6,250.0,105.0,3459,16.0,1975,1,chevrolet nova
15.0,6,250.0,72.0,3432,21.0,1975,1,mercury monarch
15.0,6,250.0,72.0,3158,19.5,1975,1,ford maverick
16.0,8,400.0,170.0,4668,11.5,1975,1,pontiac catalina
15.0,8,350.0,145.0,4440,14.0,1975,1,chevrolet bel air
16.0,8,318.0,150.0,4498,14.5,1975,1,plymouth grand fury
14.0,8,351.0,148.0,4657,13.5,1975,1,ford ltd
17.0,6,231.0,110.0,3907,21.0,1975,1,buick century
16.0,6,250.0,105.0,3897,18.5,1975,1,chevroelt chevelle malibu
15.0,6,258.0,110.0,3730,19.0,1975,1,amc matador
18.0,6,225.0,95.0,3785,19.0,1975,1,plymouth fury
21.0,6,231.0,110.0,3039,15.0,1975,1,buick skyhawk
20.0,8,262.0,110.0,3221,13.5,1975,1,chevrolet monza 2+2
13.0,8,302.0,129.0,3169,12.0,1975,1,ford mustang ii
29.0,4,97.0,75.0,2171,16.0,1975,3,toyota corolla
23.0,4,140.0,83.0,2639,17.0,1975,1,ford pinto
20.0,6,232.0,100.0,2914,16.0,1975,1,amc gremlin
23.0,4,140.0,78.0,2592,18.5,1975,1,pontiac astro
24.0,4,134.0,96.0,2702,13.5,1975,3,toyota corona
25.0,4,90.0,71.0,2223,16.5,1975,2,volkswagen dasher
24.0,4,119.0,97.0,2545,17.0,1975,3,datsun 710
18.0,6,171.0,97.0,2984,14.5,1975,1,ford pinto
29.0,4,90.0,70.0,1937,14.0,1975,2,volkswagen rabbit
19.0,6,232.0,90.0,3211,17.0,1975,1,amc pacer
23.0,4,115.0,95.0,2694,15.0,1975,2,audi 100ls
23.0,4,120.0,88.0,2957,17.0,1975,2,peugeot 504
22.0,4,121.0,98.0,2945,14.5,1975,2,volvo 244dl
25.0,4,121.0,115.0,2671,13.5,1975,2,saab 99le
33.0,4,91.0,53.0,1795,17.5,1975,3,honda civic cvcc
28.0,4,107.0,86.0,2464,15.5,1976,2,fiat 131
25.0,4,116.0,81.0,2220,16.9,1976,2,opel 1900
25.0,4,140.0,92.0,2572,14.9,1976,1,capri ii
26.0,4,98.0,79.0,2255,17.7,1976,1,dodge colt
